#Scan, Fill, Run, Bunches, StartTime, EndTime, XSteps, XPeak, XMean, XWidth, XChi2, YSteps, YPeak, YMean, YWidth, YChi2, LRatio
1804180200, 6573, 348251, 2, 18/04/18 02:01, 18/04/18 02:01, 9, 3.58, 0.02, 20.61, 29.1, 9, 3.56, -0.05, 24.7, 2.0, 0.9961
1804180610, 6573, 348251, 2, 18/04/18 06:11, 18/04/18 06:11, 9, 3.57, -1.48, 20.84, 10.1, 9, 3.55, -0.84, 24.13, 9.2, 0.9876
1804182242, 6574, 348354, 8, 18/04/18 22:42, 18/04/18 22:43, 9, 6.19, -0.55, 13.06, 3.5, 8, 6.19, -0.0, 21.48, 3.5, 0.9621
1804190940, 6574, 348354, 8, 18/04/19 09:41, 18/04/19 09:41, 9, 6.58, 0.43, 14.61, 6.8, 9, 6.58, 0.41, 18.47, 3.6, 0.9895
1804200022, 6579, 348403, 62, 18/04/20 00:24, 18/04/20 00:24, 9, 6.58, -0.12, 13.06, 5.0, 9, 6.64, -0.4, 20.31, 18.8, 0.966
1804201131, 6579, 348403, 62, 18/04/20 11:32, 18/04/20 11:32, 9, 5.64, 0.48, 15.31, 21.4, 9, 5.64, -2.18, 20.66, 5.0, 0.9951
1804201947, 6583, 348495, 62, 18/04/20 19:49, 18/04/20 19:49, 10, 4.72, 0.44, 16.11, 19.7, 9, 4.73, 0.72, 22.93, 6.7, 0.9755
1804210056, 6583, 348495, 62, 18/04/21 00:56, 18/04/21 00:56, 9, 4.71, -1.51, 16.54, 7.2, 9, 4.7, -1.47, 22.29, 5.3, 0.9719
1804210122, 6583, 348495, 62, 18/04/21 01:22, 18/04/21 01:23, 9, 5.18, -0.99, 16.84, 6.7, 9, 5.17, -0.65, 20.51, 5.2, 0.9994
1804210422, 6584, 348511, 62, 18/04/21 04:23, 18/04/21 04:24, 9, 6.78, -0.36, 12.48, 5.1, 9, 6.77, -0.17, 20.98, 6.1, 0.9843
1804210919, 6584, 348511, 62, 18/04/21 09:20, 18/04/21 09:20, 9, 6.79, -5.69, 13.85, 20.1, 9, 6.26, -2.23, 18.96, 11.1, 0.996
1804212332, 6592, 348534, 9, 18/04/21 23:32, 18/04/21 23:33, 9, 5.0, 0.25, 16.01, 15.1, 9, 4.94, 0.25, 23.12, 5.1, 0.9808
